    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 7375,         10680,            3308,           4773,     48317,        7375,      46030
 7400,         10712,            3315,           4961,     48534,        7400,      46027
 7425,         10744,            3322,           4875,     48683,        7425,      47079
 7450,         10782,            3335,           4858,     48858,        7450,      46332
 7475,         10821,            3349,           4834,     49117,        7475,      46976
 7500,         10861,            3364,           5218,     49240,        7500,      48162
 7525,         10900,            3378,           4925,     49487,        7525,      48766
 7550,         10934,            3387,           4905,     49639,        7550,      47119
 7575,         10966,            3394,           5180,     49853,        7575,      47825
 7600,         11006,            3409,           4922,     50034,        7600,      48371
 7625,         11044,            3422,           5069,     50287,        7625,      48124
 7650,         11078,            3431,           5035,     50489,        7650,      49333
 7675,         11114,            3442,           5566,     50761,        7675,      48850
 7700,         11148,            3451,           5034,     50861,        7700,      49296
 7725,         11182,            3460,           5237,     51063,        7725,      49383
 7750,         11223,            3476,           5093,     51291,        7750,      49330
 7775,         11257,            3485,           5178,     51445,        7775,      48462
 7800,         11291,            3494,           5285,     51695,        7800,      51611
 7825,         11333,            3511,           5595,     51872,        7825,      49818
 7850,         11373,            3526,           5106,     52125,        7850,      50753
 7875,         11409,            3537,           5093,     52278,        7875,      50245
 7900,         11448,            3551,           5138,     52510,        7900,      49731
 7925,         11485,            3563,           5128,     52735,        7925,      50240
 7950,         11521,            3574,           5216,     52917,        7950,      49874
 7975,         11557,            3585,           5249,     53180,        7975,      50286
 8000,         11590,            3593,           5628,     53337,        8000,      50469
 8025,         11620,            3598,           5215,     53550,        8025,      52406
 8050,         11658,            3611,           5309,     53760,        8050,      50885
 8075,         11696,            3624,           5439,     54062,        8075,      51227
 8100,         11739,            3642,           5587,     54227,        8100,      51583
 8125,         11774,            3652,           5789,     54486,        8125,      52794
 8150,         11813,            3666,           5473,     54701,        8150,      52193
 8175,         11852,            3680,           5454,     54976,        8175,      53787
 8200,         11892,            3695,           5750,     55200,        8200,      52685
 8225,         11937,            3715,           5878,     55293,        8225,      52527
 8250,         11973,            3726,           5328,     55413,        8250,      53960
 8275,         12020,            3748,           5485,     55532,        8275,      52416
 8300,         12060,            3763,           5572,     55699,        8300,      54060
 8325,         12100,            3778,           5465,     55779,        8325,      53652
 8350,         12131,            3784,           5496,     55940,        8350,      52855
 8375,         12171,            3799,           5529,     56098,        8375,      52820
 8400,         12202,            3805,           5537,     56252,        8400,      54112
 8425,         12241,            3819,           5481,     56412,        8425,      56095
 8450,         12277,            3830,           5869,     56600,        8450,      56075
 8475,         12321,            3849,           5585,     56732,        8475,      54192
 8500,         12356,            3859,           6022,     56854,        8500,      57463
 8525,         12397,            3875,           6630,     56966,        8525,      53824
 8550,         12432,            3885,           6100,     57164,        8550,      54435
 8575,         12475,            3903,           5632,     57346,        8575,      55725
 8600,         12521,            3924,           5836,     57509,        8600,      54625
 8625,         12552,            3930,           5866,     57679,        8625,      59251
 8650,         12590,            3943,          12180,     57854,        8650,      74629
 8675,         12623,            3951,           6712,     57985,        8675,      74941
 8700,         12662,            3965,           6113,     58163,        8700,      63527
 8725,         12694,            3972,           5887,     58305,        8725,      59238
 8750,         12730,            3983,           5949,     58501,        8750,      57737
 8775,         12774,            4002,           9646,     58658,        8775,      83964
 8800,         12805,            4008,           7704,     58755,        8800,      81872
 8825,         12846,            4024,           9515,     58948,        8825,      60940
 8850,         12878,            4031,           5877,     59094,        8850,      58503
 8875,         12916,            4044,           5894,     59269,        8875,      56840
 8900,         12957,            4060,           5836,     59445,        8900,      57479
 8925,         12995,            4073,           6079,     59652,        8925,      58910
 8950,         13035,            4088,           5923,     59856,        8950,      57338
 8975,         13068,            4096,           6279,     60020,        8975,      57101
 9000,         13102,            4105,           5934,     60135,        9000,      57729
 9025,         13145,            4123,           6161,     60369,        9025,      57461
 9050,         13177,            4130,           6111,     60530,        9050,      57800
 9075,         13211,            4139,           5971,     60713,        9075,      59449
 9100,         13240,            4143,           5944,     60850,        9100,      60217
 9125,         13273,            4151,           6251,     61056,        9125,      59461
 9150,         13310,            4163,           5961,     61289,        9150,      61052
 9175,         13346,            4174,           5976,     61480,        9175,      60508
 9200,         13381,            4184,           6117,     61680,        9200,      61350
 9225,         13422,            4200,           6210,     61851,        9225,      59455
 9250,         13466,            4219,           6128,     61990,        9250,      60205
 9275,         13498,            4226,           6226,     62151,        9275,      60693
 9300,         13531,            4234,           6379,     62328,        9300,      60600
 9325,         13572,            4250,           6407,     62444,        9325,      59738
 9350,         13612,            4265,           6099,     62661,        9350,      60333
 9375,         13644,            4272,           6232,     62794,        9375,      59894
 9400,         13680,            4283,           6213,     62997,        9400,      62484
 9425,         13713,            4291,           6517,     63148,        9425,      61321
 9450,         13752,            4305,           6432,     63310,        9450,      61203
 9475,         13785,            4313,           6364,     63476,        9475,      62970
 9500,         13814,            4317,           6913,     63643,        9500,      64420
 9525,         13852,            4330,           6355,     63874,        9525,      61791
 9550,         13890,            4343,           6253,     64011,        9550,      63595
 9575,         13921,            4349,           6378,     64206,        9575,      62324
 9600,         13958,            4361,           6415,     64367,        9600,      61658
 9625,         13990,            4368,           6600,     64583,        9625,      65744
 9650,         14030,            4383,           6520,     64739,        9650,      64116
 9675,         14068,            4396,           6641,     64966,        9675,      63061
 9700,         14102,            4405,           6849,     65152,        9700,      62491
 9725,         14137,            4415,           6337,     65386,        9725,      62713
 9750,         14171,            4424,           6371,     65537,        9750,      62849
 9775,         14205,            4433,           6427,     65650,        9775,      63939
 9800,         14238,            4441,           6412,     65877,        9800,      63620
 9825,         14267,            4445,           6489,     66066,        9825,      65094
 9850,         14300,            4453,           6741,     66226,        9850,      64853
 9875,         14340,            4468,           6841,     66429,        9875,      64722
 9900,         14376,            4479,           6557,     66588,        9900,      64332
 9925,         14416,            4494,           6533,     66788,        9925,      64493
 9950,         14456,            4509,           6582,     67051,        9950,      84934
 9975,         14486,            4514,          12310,     67189,        9975,      93396
10000,         14520,            4523,           8642,     67389,       10000,      78061
